date,portfolio_value,cash,positions_value
238,101134.85721736986,80531.42934267617,20603.42787469369
239,101108.73803214468,80531.42934267617,20577.30868946851
240,101113.34730012559,80531.42934267617,20581.91795744942
241,100781.48000549966,80531.42934267617,20250.050662823487
242,100873.66536511798,80531.42934267617,20342.236022441808
243,101004.26129124392,80531.42934267617,20472.83194856775
244,100970.45999271721,80531.42934267617,20439.030650041037
245,101319.2279366065,80531.42934267617,20787.798593930333
246,101322.30078192712,80531.42934267617,20790.871439250943
247,101369.92988439658,80531.42934267617,20838.50054172041
248,101227.04257698818,80531.42934267617,20695.61323431201
249,101248.55249423246,80531.42934267617,20717.123151556283
250,100090.08980836229,80531.42934267617,19558.660465686116
251,100056.71717175779,100056.71717175779,0.0
252,100056.71717175779,100056.71717175779,0.0
253,100056.71717175779,100056.71717175779,0.0
254,100056.71717175779,100056.71717175779,0.0
255,100056.71717175779,100056.71717175779,0.0
256,100056.71717175779,100056.71717175779,0.0
257,100056.71717175779,100056.71717175779,0.0
258,100056.71717175779,100056.71717175779,0.0
259,100056.71717175779,100056.71717175779,0.0
260,100056.71717175779,100056.71717175779,0.0
261,100056.71717175779,100056.71717175779,0.0
262,100056.71717175779,100056.71717175779,0.0
263,100056.71717175779,100056.71717175779,0.0
264,100056.71717175779,100056.71717175779,0.0
265,100056.71717175779,100056.71717175779,0.0
266,100056.71717175779,100056.71717175779,0.0
267,100056.71717175779,100056.71717175779,0.0
268,100056.71717175779,100056.71717175779,0.0
269,100056.71717175779,100056.71717175779,0.0
270,100056.71717175779,100056.71717175779,0.0
271,100056.71717175779,100056.71717175779,0.0
272,100056.71717175779,100056.71717175779,0.0
273,100056.71717175779,100056.71717175779,0.0
274,100056.71717175779,100056.71717175779,0.0
275,100056.71717175779,100056.71717175779,0.0
276,100056.71717175779,100056.71717175779,0.0
277,100036.70582832344,80025.36239397188,20011.343434351555
278,100129.5552958442,80025.36239397188,20104.192901872317
279,99978.86517642526,80025.36239397188,19953.502782453375
280,99919.50240210872,80025.36239397188,19894.140008136834
281,99812.95383282259,80025.36239397188,19787.591438850708
282,99815.99807765934,80025.36239397188,19790.635683687462
283,99844.86665144621,99844.86665144621,0.0
284,99844.86665144621,99844.86665144621,0.0
285,99844.86665144621,99844.86665144621,0.0
286,99844.86665144621,99844.86665144621,0.0
287,99844.86665144621,99844.86665144621,0.0
288,99844.86665144621,99844.86665144621,0.0
289,99844.86665144621,99844.86665144621,0.0
290,99844.86665144621,99844.86665144621,0.0
291,99844.86665144621,99844.86665144621,0.0
292,99844.86665144621,99844.86665144621,0.0
293,99844.86665144621,99844.86665144621,0.0
294,99844.86665144621,99844.86665144621,0.0
295,99844.86665144621,99844.86665144621,0.0
296,99844.86665144621,99844.86665144621,0.0
297,99844.86665144621,99844.86665144621,0.0
298,99844.86665144621,99844.86665144621,0.0
299,99844.86665144621,99844.86665144621,0.0
300,99844.86665144621,99844.86665144621,0.0
301,99844.86665144621,99844.86665144621,0.0
302,99844.86665144621,99844.86665144621,0.0
303,99844.86665144621,99844.86665144621,0.0
304,99844.86665144621,99844.86665144621,0.0
305,99844.86665144621,99844.86665144621,0.0
306,99844.86665144621,99844.86665144621,0.0
307,99844.86665144621,99844.86665144621,0.0
308,99824.89767811593,79855.92434782669,19968.973330289242
309,99998.1143808351,79855.92434782669,20142.190033008417
310,99985.85125143906,79855.92434782669,20129.926903612373
311,100028.77220432521,79855.92434782669,20172.847856498527
312,100068.62737486238,79855.92434782669,20212.70302703569
313,100134.54169536613,79855.92434782669,20278.617347539446
314,100151.4034982857,79855.92434782669,20295.47915045901
315,100212.71914526593,79855.92434782669,20356.794797439245
316,100298.56105103827,79855.92434782669,20442.63670321158
317,100019.57485727819,79855.92434782669,20163.6505094515
318,99926.06849563331,79855.92434782669,20070.144147806626
319,99952.12764559992,79855.92434782669,20096.20329777323
320,99924.53560445883,79855.92434782669,20068.61125663214
321,99723.72686059853,79855.92434782669,19867.802512771843
322,99691.5361459339,79855.92434782669,19835.611798107217
323,99827.96346046495,79855.92434782669,19972.03911263826
324,99728.32553412205,79855.92434782669,19872.401186295363
325,99530.58257261079,79855.92434782669,19674.6582247841
326,99889.27910744518,79855.92434782669,20033.354759618494
327,100010.37751023115,79855.92434782669,20154.45316240446
328,100151.4034982857,79855.92434782669,20295.47915045901
329,100266.37033637366,79855.92434782669,20410.44598854697
330,100201.9889070444,79855.92434782669,20346.064559217717
331,100321.55441865587,79855.92434782669,20465.630070829182
332,100459.5146243614,79855.92434782669,20603.590276534713
333,100675.65227996674,79855.92434782669,20819.727932140057
334,100657.25758587266,79855.92434782669,20801.333238045976
335,100669.52071526872,79855.92434782669,20813.596367442035
