date,total_value,cash,positions_value
2025-03-28 11:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-28 15:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-28 19:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-28 23:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 03:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 07:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 11:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 15:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 19:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-29 23:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 03:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 07:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 11:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 15:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 19:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-30 23:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 03:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 07:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 11:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 15:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 19:00:00,97845.40843830904,97845.40843830904,0.0
2025-03-31 23:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 03:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 07:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 11:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 15:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 19:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-01 23:00:00,97845.40843830904,97845.40843830904,0.0
2025-04-02 03:00:00,97825.83935662136,78256.75766895956,19569.081687661805
2025-04-02 07:00:00,97692.57567951859,78256.75766895956,19435.81801055903
2025-04-02 11:00:00,97658.3407004008,78256.75766895956,19401.583031441245
2025-04-02 15:00:00,97687.75061534763,78256.75766895956,19430.99294638807
2025-04-02 19:00:00,98193.00376353558,78256.75766895956,19936.246094576025
2025-04-02 23:00:00,98233.21263162693,78256.75766895956,19976.45496266737
2025-04-03 03:00:00,97212.82644194858,78256.75766895956,18956.06877298902
2025-04-03 07:00:00,97448.10576152314,78256.75766895956,19191.34809256358
2025-04-03 11:00:00,97435.92821861547,78256.75766895956,19179.170549655915
2025-04-03 15:00:00,97349.07706353813,78256.75766895956,19092.319394578575
2025-04-03 19:00:00,97104.83691050322,78256.75766895956,18848.07924154366
2025-04-03 23:00:00,97082.31994437205,78256.75766895956,18825.562275412492
2025-04-04 03:00:00,97357.57836707745,78256.75766895956,19100.820698117896
2025-04-04 07:00:00,97276.93086593422,78256.75766895956,19020.17319697466
2025-04-04 11:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-04 15:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-04 19:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-04 23:00:00,97534.04153299774,97534.04153299774,0.0
2025-04-05 03:00:00,97534.04153299774,97534.04153299774,0.0
